Aceite Sintético 5W-30 Castrol,Aceites,45.00
Aceite Mineral 20W-50,Aceites,25.00
Aceite Alto Kilometraje 25W-50,Aceites,30.00
Refrigerante Verde 50/50,Refrigerantes,15.50
Refrigerante Rojo Orgánico,Refrigerantes,18.00
Líquido de Frenos DOT 4,Fluidos,10.00
Líquido de Dirección Hidráulica,Fluidos,12.00
Filtro de Aceite Universal,Filtros,8.50
Filtro de Aire Estandar,Filtros,12.00
Filtro de Cabina (A/C),Filtros,15.00
Bujías de Iridio (Set 4),Encendido,40.00
Bujías de Cobre (Set 4),Encendido,15.00
Pastillas de Freno Delanteras,Frenos,35.00
Zapatas de Freno Traseras,Frenos,28.00
Amortiguadores Delanteros (Par),Suspensión,120.00
Amortiguadores Traseros (Par),Suspensión,90.00
Batería 12V 65Ah,Eléctrico,95.00
Correa de Distribución,Motor,25.00
Bomba de Agua,Motor,45.00
Limpiaparabrisas (Par),Accesorios,14.00
